property_id,location,size_sqft,num_rooms,age_years,condition,proximity_to_amenities_km,sale_price_usd
86,South Christineshire,4258,10,36,Excellent,8.28,966862
87,North Amandahaven,1670,8,12,Fair,0.6,667681
88,Davidstad,2669,6,9,Fair,0.23,1473905
89,East Mikeburgh,1643,8,15,Good,7.53,367712
90,Bassport,2520,5,50,Good,5.91,615796
91,Lake Lisaport,4915,6,96,Excellent,3.02,1114188
92,East Josephville,2652,7,90,Poor,0.15,136358
93,West Juan,4009,9,33,Excellent,9.74,1926620
94,Lake Matthew,3771,5,72,Poor,2.79,1970879
95,Williamview,3465,5,98,Poor,9.54,126166
96,North Cynthiaview,2296,3,52,Excellent,4.17,463058
97,North Matthewberg,1633,7,32,Good,9.69,441417
98,Evanmouth,4674,4,80,Good,8.01,1455032
99,Hoffmanville,4542,4,75,Poor,7.53,1187637
100,Lake Rebeccaside,1244,4,35,Fair,0.88,866953
101,Port Mikeside,885,4,83,Poor,2.02,258192
102,South David,1398,9,69,Good,4.81,551365
103,Michaelton,1752,9,74,Excellent,6.22,1199728
104,Jasonbury,1810,5,85,Excellent,2.75,974271
105,West Kimberlychester,3958,7,60,Poor,2.55,1366595
106,East Michelle,1020,6,85,Excellent,7.37,248575
107,South Angel,3652,2,5,Excellent,4.66,1940898
108,Kimberlychester,3626,10,76,Excellent,1.38,1287680
109,West Erik,4334,1,53,Fair,2.51,1581923
110,South Monicafort,4834,4,91,Good,9.54,1844250
111,East Lisa,2559,5,38,Fair,8.11,1203182
112,Baileybury,594,9,73,Fair,2.13,640157
113,North Donna,1438,4,48,Fair,7.32,1107881
114,Murphyland,4898,1,41,Poor,8.89,1079636
115,Michaelhaven,2685,9,33,Fair,4.23,409615
116,Frazierside,3286,3,47,Excellent,8.91,931648
117,Sheilaville,1413,5,79,Good,9.98,1408850
118,Gregoryview,2904,2,6,Fair,0.93,1036330
119,North Candacestad,4061,4,7,Good,0.66,153400
120,Samuelhaven,1795,1,2,Good,8.02,1864846
121,South Rachelborough,4216,2,83,Fair,4.47,1572280
122,Bradleychester,526,7,85,Good,4.45,1061445
123,New Saraside,2657,1,64,Good,2.17,314153
124,West Ryan,4600,7,3,Excellent,8.29,135409
125,Cindyville,1963,5,62,Good,5.09,1249844
126,Williamchester,4658,5,31,Poor,0.72,103901
127,Richardport,1371,10,47,Fair,5.76,816629
128,East Robert,2944,1,5,Excellent,1.96,867830
129,Byrdburgh,4658,4,11,Fair,3.11,507360
130,Richardtown,2129,6,42,Excellent,9.43,1503321
131,Justinchester,1752,10,83,Good,8.96,1455130
132,Stevenmouth,3563,4,27,Poor,5.84,1349932
133,New Thomas,1823,5,35,Poor,1.44,1581000
134,Lake Christopher,4918,2,67,Fair,1.12,825001
135,Clarencebury,4844,8,36,Good,6.21,982694
136,Jeffreyborough,504,8,17,Poor,7.44,997168
137,North Brandon,3155,4,74,Good,5.07,1145907
138,Carrland,4502,4,100,Fair,9.45,1774880
139,Perryshire,659,5,87,Fair,5.08,1870805
140,Lake Heather,1416,4,84,Fair,8.2,726493
141,Rossberg,3473,1,71,Poor,5.02,685070
142,Port Michelleville,3019,8,8,Poor,4.8,1636317
143,Robinsonhaven,2461,2,39,Poor,0.23,1617199
144,Williamsbury,974,9,71,Poor,6.52,1627354
145,South Dennismouth,2473,3,74,Poor,8.9,415604
146,Stephaniemouth,1145,2,63,Good,2.12,1174755
147,Rivasside,1201,9,67,Excellent,3.79,300802
148,Merrittfort,4481,3,28,Poor,2.69,1982576
149,Greenbury,1066,2,75,Poor,0.23,568645
150,Katiehaven,4863,7,3,Fair,1.87,1222191
151,Simsview,1530,1,78,Poor,4.14,181394
152,Jonesport,1551,7,0,Poor,5.25,1796373
153,West Matthew,4393,4,74,Poor,7.29,1479660
154,East Edwardfurt,1852,10,3,Poor,7.38,1874015
155,Lake Jason,2671,3,59,Poor,1.15,725946
156,Russellside,4822,4,14,Poor,2.87,109884
157,Perryborough,3966,2,57,Excellent,7.05,1997525
158,Priceshire,2235,9,4,Excellent,3.46,304063
159,Port Nicoleshire,4917,7,16,Good,5.61,1403545
160,Woodsstad,2147,8,76,Fair,0.28,1588349
161,Karenchester,3053,9,3,Good,7.89,1976347
162,South Jeffrey,3768,2,22,Poor,9.95,1034126
163,Tuckerfurt,3559,2,93,Poor,4.78,1714706
164,Elizabethfurt,4088,1,93,Good,7.96,838628
165,Port Tanner,4739,9,65,Poor,4.38,1589372
166,New Amanda,4198,1,4,Fair,5.65,359885
167,Vargastown,1491,3,86,Poor,8.14,1163847
168,Lake Roymouth,2530,4,14,Poor,7.2,310583
169,North Jorge,2340,9,28,Poor,4.7,338307
170,Jasonmouth,1024,9,31,Excellent,1.9,958258
171,Kathleenfurt,3269,4,17,Excellent,3.19,1297747
172,Karenchester,672,7,61,Excellent,8.54,1557760
173,Maryfort,2385,10,66,Poor,7.45,1261033
174,Lake Amberstad,2304,8,1,Fair,4.49,1598337
175,Lake Casey,558,1,77,Good,4.99,322757
176,Port Anthonybury,1081,3,14,Poor,3.42,1571303
177,Port Andrew,982,6,11,Good,3.89,1946229
178,East David,2375,8,72,Good,7.7,1093769
179,New Staciemouth,1052,10,13,Good,8.27,585504
180,Katieburgh,757,6,38,Poor,1.9,1826220
181,Port Loriport,3206,4,65,Poor,9.63,1834749
182,New Anthonyport,1080,6,70,Excellent,6.55,1058117
183,Sandersborough,4711,7,24,Fair,7.22,719475
184,New Hannahbury,2449,5,59,Fair,6.95,1255937
185,Lake Kendraville,2781,5,62,Fair,6.8,1612862
186,West Amandastad,4476,2,26,Fair,2.18,476835
187,New Deborahtown,2255,2,44,Good,3.11,1531097
188,Shortville,4917,10,54,Excellent,8.93,644174
189,Yumouth,1583,4,89,Excellent,7.43,953416
190,South Gregory,4372,6,63,Excellent,7.8,1552937
191,Christinaside,2490,5,9,Excellent,1.35,1812216
192,Marshallshire,4374,8,79,Excellent,5.79,229175
193,Marcusbury,3834,3,37,Good,9.36,253166
194,West Nicolebury,2059,9,77,Excellent,9.49,968807
195,Hudsonfurt,1272,7,83,Poor,2.93,652458
196,Anthonymouth,1294,4,43,Good,5.88,866776
197,South Jason,4031,10,43,Good,3.27,1060488
198,Matthewview,3402,10,52,Poor,4.6,1454309
199,New Stacyland,3969,7,70,Good,9.24,157926
200,Lake Richard,3867,3,23,Excellent,1.93,1091813
201,Lake Thomas,4325,5,10,Fair,5.68,1780944
202,Westtown,943,1,93,Fair,3.94,1656473
203,West Jeffreybury,1306,3,95,Excellent,3.5,722027
204,Elizabethstad,996,4,0,Good,3.99,599724
205,Transtad,3798,9,52,Good,5.54,973435
206,Barajasside,3279,5,77,Fair,6.71,1492495
207,Michaelmouth,1395,10,6,Poor,6.07,1953422
208,Kristopherbury,2536,3,68,Fair,7.93,252447
209,Lake Jamesville,2069,1,69,Poor,7.98,1545296
210,East Javier,2058,4,38,Poor,7.78,1438899
211,Hillshire,4893,2,3,Fair,9.3,1804406
212,Tinaborough,4175,8,25,Fair,8.39,768464
213,Jeremyburgh,1648,6,69,Good,8.66,1074529
214,Alexisside,3956,10,63,Fair,7.45,651712
215,West Brandon,2003,2,40,Fair,7.13,1663028
216,New Kellyberg,2781,5,26,Fair,6.81,1269406
217,Garciatown,4289,6,86,Fair,0.97,1716893
218,Taylormouth,2546,1,46,Poor,5.77,1417879
219,Jackton,1117,10,73,Excellent,8.41,1161729
220,Shelleyfort,4130,1,48,Excellent,6.57,1403221
221,Port Cameronfort,1302,10,48,Poor,8.92,105077
222,New Crystalton,914,1,19,Fair,3.46,1672708
223,East Lisa,4928,4,25,Excellent,9.63,1117936
224,Christopherbury,620,10,86,Good,2.77,1354555
225,New Kathybury,1264,6,40,Poor,5.25,1622692
226,Hayesmouth,2436,8,39,Poor,2.59,739746
227,Michellechester,1862,3,49,Excellent,5.29,1119595
228,Ashleyton,3829,9,57,Fair,9.11,783464
229,Port Jaredborough,4478,7,96,Good,8.31,1371898
230,Donnaburgh,4443,10,78,Fair,0.53,388151
231,East Andrea,2251,4,45,Fair,1.88,245635
232,North Ricky,3785,10,28,Fair,4.31,1716296
233,Carterbury,980,6,98,Good,2.41,1692496
234,Jasminemouth,1848,4,69,Excellent,2.23,1114420
235,Lake Jesusview,3604,10,26,Poor,3.07,1468266
236,South Danny,517,2,56,Poor,7.81,1098382
237,Lake Edward,3698,1,63,Fair,8.46,1160714
238,Margaretland,2672,7,76,Excellent,8.31,908209
239,East Laurashire,4227,8,16,Poor,9.52,1192541
240,Scottmouth,2836,4,94,Excellent,2.51,376776
241,Hollyview,3965,4,72,Poor,8.68,1779868
242,Kimton,4486,4,42,Poor,6.48,150112
243,Navarroview,1768,9,60,Fair,8.96,862505
244,North Jeremyshire,2055,3,36,Poor,9.13,537887
245,Port Emilyview,2930,8,4,Good,5.8,1897070
246,Port Katelynfort,2283,7,96,Excellent,6.18,1130037
247,Moonburgh,979,6,41,Good,5.26,1616135
248,Waltersfort,4941,4,57,Fair,8.33,1319073
249,South Michaelmouth,999,5,74,Poor,7.05,1117177
250,Elizabethburgh,3069,9,24,Fair,5.03,923060
251,Robertfort,968,1,58,Excellent,5.37,678520
252,Elainefurt,910,3,49,Poor,5.97,1181693
253,South Christopherview,4405,5,0,Excellent,0.82,874838
254,Darrellfurt,4619,10,18,Excellent,7.32,1327977
255,Lake Mollymouth,4850,7,71,Fair,2.79,637478
256,Brownhaven,1789,7,69,Good,5.13,141989
257,Cindyfort,965,9,47,Good,8.03,988748
258,Wolfborough,4660,10,47,Good,3.44,817919
259,Andreaport,1156,10,89,Poor,8.41,1282161
260,Gilmorefort,2022,3,18,Good,5.55,1510985
261,North Teresabury,1061,4,75,Poor,0.73,570167
262,West Andrea,1056,9,97,Poor,5.52,1860027
263,Davisville,2426,6,89,Poor,8.2,1128838
264,Valentineberg,3807,9,65,Poor,7.96,1618460
265,Cantuport,1482,6,2,Fair,2.55,1203571
266,Robertfort,2516,6,5,Poor,3.36,829585
267,Sanchezside,825,3,16,Good,8.27,1737368
268,South James,1171,1,100,Poor,9.1,398655
269,Port Chad,3934,2,32,Fair,2.65,1522987
270,Morganhaven,4782,1,50,Poor,6.57,1110622
271,Loriport,3091,2,8,Good,2.14,314203
272,Maryshire,2636,6,37,Fair,1.94,1273176
273,Grimesmouth,2173,5,9,Good,6.77,976043
274,Reedside,3073,5,18,Good,8.02,687608
275,Gibsonmouth,2455,5,16,Excellent,8.92,1731301
276,Lake John,2675,9,43,Fair,2.16,111953
277,Hallchester,3742,5,71,Poor,4.3,173418
278,West Juliefurt,1572,8,0,Fair,2.28,1581385
279,Mcneilberg,2957,10,32,Excellent,6.7,1520362
280,Hannaberg,4245,3,85,Excellent,8.6,713845
281,Mollymouth,3090,1,65,Fair,5.1,1990776
282,New Reneetown,1094,8,33,Good,4.74,1026937
283,South Monica,576,5,72,Fair,1.1,1194841
284,North Terrance,4254,1,46,Good,0.66,1522747
285,Matthewfurt,1319,6,94,Poor,3.91,1388969
286,Port Markside,1100,2,14,Good,4.94,1047410
287,Finleyfort,4904,9,14,Good,3.63,357610
288,New Caseyport,2246,8,0,Fair,9.52,1169031
289,Lake Christopher,4644,1,46,Good,9.42,1491493
290,Port Cynthiaville,2672,4,46,Good,2.5,841326
291,Jacksonport,1585,3,74,Excellent,4.66,181039
292,North Markton,3359,3,50,Poor,4.76,243165
293,Michaelchester,1063,2,62,Poor,0.35,1035803
294,East Amanda,2501,8,95,Fair,5.44,723988
295,East Gregory,3527,8,17,Excellent,0.84,1526692
296,Harveybury,2834,6,89,Good,4.91,608571
297,Durhamberg,1792,10,66,Excellent,7.68,1024058
298,South Dana,4089,10,61,Excellent,2.2,427662
299,Scotttown,4950,1,68,Good,0.52,1975285
300,Santanaside,2978,3,33,Fair,7.45,1482292
301,North Scott,4833,6,9,Good,9.57,937325
302,Vanessaport,564,5,67,Poor,7.49,697756
303,Vaughnmouth,2952,10,46,Poor,9.79,675393
304,Jamesfurt,1348,9,49,Fair,5.58,1932942
305,Rodriguezfurt,1600,4,59,Poor,7.18,388032
306,Baileyport,2666,10,100,Poor,1.84,1700408
307,Port Dominiqueview,1445,2,87,Excellent,7.35,1689706
308,New Michelleton,1376,1,98,Poor,5.73,1929861
309,Wallport,1773,4,67,Poor,7.42,810188
310,New Laurie,2731,3,65,Fair,8.42,236697
311,Lake James,2808,1,51,Good,2.06,1541677
312,Ericaberg,2225,5,92,Excellent,5.7,144148
313,Lake Debbieport,3308,2,27,Good,6.03,571194
314,Johnsonstad,2167,1,22,Excellent,2.68,620117
315,North Renee,2662,4,92,Good,4.38,616731
316,Julieburgh,4640,8,13,Fair,8.97,372224
317,East Kristin,4502,3,49,Poor,4.94,1836657
318,Alyssaview,2557,9,21,Fair,9.65,1832806
319,West Robin,916,2,27,Good,1.96,1869720
320,Coffeyport,1256,1,74,Poor,6.53,545533
321,Lindamouth,3969,3,17,Good,3.08,153286
322,East Karenbury,2766,10,53,Excellent,4.91,954853
323,Coffeyside,861,8,45,Fair,3.78,1983348
324,Christopherfurt,529,3,82,Good,6.79,252350
325,West Amandamouth,3232,10,62,Poor,1.52,1597454
326,Emilyview,1571,6,99,Fair,1.74,436609
327,Carsonstad,2645,8,23,Fair,7.68,663665
328,Lake Jesustown,1823,6,97,Poor,4.55,368047
329,Rosebury,4119,6,32,Excellent,8.23,225847
330,Lake Madisonport,4003,2,32,Fair,0.58,897150
331,Wilsonton,579,3,32,Poor,5.6,1294798
332,West Wendyville,1416,7,87,Good,2.72,629697
333,East Paigeberg,1116,4,24,Excellent,1.49,1532176
334,Chavezside,1721,8,65,Good,0.13,933558
335,Matthewsberg,4969,1,6,Poor,9.89,1411115
336,Penafort,795,1,56,Fair,6.07,1225329
337,Crosbyview,3524,8,56,Fair,8.78,1929702
338,Lake Mitchellmouth,1713,10,36,Poor,4.31,1590085
339,Sampsonstad,4020,7,33,Fair,5.05,468538
340,Lake Michaelstad,1544,4,23,Good,7.49,649868
341,South Joshuaville,842,4,10,Fair,2.48,865202
342,Davisborough,3025,1,37,Fair,6.29,1438166
343,North Kristinbury,3487,3,76,Poor,9.26,737579
344,Port Anne,826,3,42,Poor,1.5,1008295
345,Port Kathyborough,3431,6,5,Fair,8.46,893134
346,Port Molly,2220,2,39,Excellent,7.41,799987
347,Kimtown,2544,8,86,Good,8.11,495653
348,Micheleberg,1342,7,57,Excellent,9.58,1494700
349,New John,3397,7,77,Poor,0.59,1592812
350,North Donna,3829,7,33,Poor,2.11,586597
351,East Alexisbury,1766,9,90,Good,7.43,1818367
352,Alfredview,2439,10,92,Good,7.96,561129
353,East Judyhaven,1831,10,96,Excellent,4.69,1497648
354,Lake Brycemouth,1950,3,59,Poor,0.25,802820
355,Williamville,3877,2,85,Excellent,8.4,1847758
356,Gordonton,703,3,52,Good,0.64,1679345
357,Stephentown,1969,8,36,Excellent,7.37,131778
358,South Melaniechester,3221,5,39,Excellent,3.5,1975799
359,South Jennifermouth,3872,7,83,Excellent,2.76,1990358
360,North Marcberg,2532,3,12,Fair,8.7,605888
361,East Joshuashire,2685,2,44,Poor,6.94,1652636
362,Oscarhaven,1804,4,6,Poor,9.47,1161658
363,Shawnchester,1385,4,89,Poor,3.22,527070
364,Port Jacquelineside,3633,5,62,Fair,2.08,1013792
365,South Shannon,817,6,79,Excellent,1.22,1492012
366,South Matthew,4355,10,86,Fair,9.67,1730447
367,Rossville,2322,6,42,Fair,7.6,612876
368,Ronaldview,2134,9,66,Poor,0.38,580156
369,Stephaniefort,4270,3,41,Good,5.0,793344
370,North Marieland,3364,10,25,Good,5.48,1520465
371,Davisstad,3000,6,18,Fair,4.36,1261722
372,New Brian,2364,7,55,Good,7.57,244453
373,Elizabethchester,2326,6,49,Good,9.0,774848
374,Morganchester,693,7,16,Fair,0.33,1481722
375,West Carolinestad,2082,3,44,Fair,0.86,1580083
376,New Williamberg,3764,2,99,Good,0.3,652002
377,Walkerville,3189,10,22,Good,4.2,1977978
378,Meganstad,2782,3,71,Good,4.14,1865795
379,Port Joshuabury,1068,10,60,Poor,7.04,575541
380,Bruceside,2786,6,91,Poor,4.59,1202898
381,New Sarahview,3376,10,11,Excellent,9.71,110652
382,East Joshuaport,4673,1,54,Good,2.52,1314802
383,Michaelburgh,3774,10,77,Excellent,8.63,1175237
384,New Diane,4892,10,88,Good,6.29,305388
385,East Joycetown,3212,5,37,Excellent,6.29,1885296
386,Lake Alyssafurt,726,5,33,Good,0.59,638747
387,Chavezburgh,1444,2,32,Fair,6.91,616670
388,Larrymouth,2639,5,21,Fair,0.85,1001252
389,North Ericton,1962,8,83,Poor,5.0,1034223
390,West Scottchester,2674,6,81,Poor,9.1,423197
391,Lawsonchester,813,4,32,Excellent,4.7,1953310
392,Jasonhaven,1388,8,76,Poor,1.55,1759650
393,West Russellport,4059,7,71,Poor,9.72,1777789
394,Roseport,3331,4,61,Excellent,8.43,104315
395,East Randallton,3069,8,73,Poor,0.57,573402
396,East Kevinborough,4074,9,53,Good,9.0,1254272
397,Port Jonathan,4689,3,30,Fair,4.76,1495481
398,Davidfort,1447,6,42,Poor,3.71,1882053
399,Thompsonfurt,3655,7,62,Excellent,0.89,1582897
400,New Angelica,2057,5,66,Poor,9.25,656452
401,Charleston,2586,9,36,Poor,0.9,1346044
402,Smithland,863,6,49,Good,3.58,1802937
403,Barbarashire,4072,9,8,Excellent,6.23,320763
404,Mckinneychester,513,7,13,Poor,1.3,963337
405,Dariustown,4759,5,96,Poor,3.05,1804864
406,Georgemouth,4910,8,25,Excellent,1.61,744273
407,Christopherville,2114,7,67,Poor,1.3,1902134
408,South Brianna,3483,7,33,Good,8.21,732410
409,South Monicamouth,4033,10,40,Good,6.71,322704
410,West Kimberly,1073,6,11,Fair,1.53,1403044
411,New Cynthiahaven,3204,6,90,Fair,2.06,1529717
412,Port Michael,3071,8,24,Poor,4.87,988015
413,East Curtis,1520,8,100,Fair,1.66,1127328
414,Jamesberg,2960,1,0,Excellent,2.98,1257744
415,East Stephaniefort,4654,6,95,Good,2.2,1624466
416,Webstershire,3033,2,17,Fair,5.08,898532
417,Maldonadoshire,3845,9,77,Fair,7.64,1327686
418,Michellemouth,3172,7,85,Excellent,1.66,888165
419,South Carlos,3796,6,78,Good,1.91,1055086
420,Welchview,2922,1,99,Fair,9.36,678995
421,West Williamport,1542,7,73,Poor,9.18,1303650
422,Hayeston,2071,8,3,Excellent,5.24,577930
423,Marieland,3944,10,30,Poor,4.41,200509
424,New Brookefurt,3605,10,3,Excellent,7.42,1353339
425,Carpenterton,1925,7,26,Poor,6.59,1943334
426,Stoutshire,2965,5,95,Good,2.67,1575062
427,West Cassidy,3826,6,96,Fair,1.31,330985
428,North Shannon,4988,2,89,Excellent,7.56,1777137
429,Toniland,503,2,92,Poor,4.52,1400519
430,North John,2989,6,85,Good,5.82,484357
431,Ritterhaven,2850,10,61,Excellent,7.74,719274
432,West Nathan,2221,1,17,Good,6.13,1377114
433,Paulmouth,4021,6,3,Fair,9.3,224476
434,Port Crystalmouth,3139,10,77,Excellent,5.35,506956
435,West Codyfurt,4309,3,46,Poor,3.29,736122
436,Johnathanberg,4119,6,53,Excellent,1.25,1566632
437,Christopherberg,4122,7,20,Good,4.72,635355
438,Kylefurt,2250,9,44,Good,6.36,1623838
439,New Jeanne,4687,8,3,Poor,1.59,763773
440,West Angelicamouth,4376,1,44,Poor,1.62,598388
441,Lake Jacqueline,1890,5,63,Excellent,6.8,624743
442,Lake Ellenhaven,1194,3,46,Good,7.05,1964558
443,Andrewport,2824,7,81,Good,1.83,1560297
444,East Matthew,4722,5,18,Excellent,1.92,893241
445,Leeberg,3245,7,14,Poor,2.0,159257
446,North Kenneth,1265,10,33,Good,2.7,222334
447,New Kellihaven,2424,8,72,Fair,8.85,360958
448,Lake Matthewberg,3042,10,61,Good,1.31,1383017
449,Mooreburgh,2340,6,33,Fair,1.82,1840981
450,Lake Samuel,2131,1,17,Excellent,7.95,183816
451,Diazbury,1707,9,8,Good,1.88,810087
452,Bishopmouth,700,1,6,Fair,1.51,635488
453,New John,878,5,54,Fair,0.39,1953756
454,Mckeeborough,2505,7,84,Poor,8.94,514526
455,Erikashire,4392,7,54,Excellent,0.49,608745
456,Murrayport,1096,1,35,Excellent,3.93,562839
457,Shawchester,4230,7,49,Poor,1.93,102548
458,Port James,3895,4,59,Excellent,6.37,985700
459,Port John,2092,9,54,Good,5.23,1913131
460,Sawyerside,3645,3,29,Poor,7.71,941441
461,Lake Meghanville,4549,9,56,Good,7.56,995861
462,Christopherburgh,3773,6,50,Fair,2.05,217708
463,Shannonhaven,2498,1,4,Good,9.21,1684760
464,Port Samuel,1708,5,59,Excellent,7.78,1265775
465,Port Shannon,545,2,49,Good,4.34,1250537
466,Sarahchester,1373,7,98,Excellent,1.49,1530942
467,South Waynebury,3982,3,98,Poor,1.05,119555
468,Vangstad,2292,8,2,Fair,9.89,1125674
469,North Lucas,1940,6,55,Poor,2.74,1465510
470,Port Jennifermouth,4743,1,89,Fair,3.67,1594837
471,East Benjamin,4305,3,78,Fair,5.85,735263
472,Hortonberg,911,1,37,Fair,2.8,1766725
473,Westtown,2541,10,17,Excellent,8.48,249958
474,North Jonathanberg,1494,3,7,Excellent,4.91,1006014
475,Rodriguezport,4239,3,88,Fair,2.64,1758687
476,West David,1592,6,17,Poor,4.4,163307
477,South Danielle,4306,3,19,Poor,9.56,1956915
478,Brownfort,4851,2,94,Excellent,6.28,1490675
479,Lake Zacharybury,3099,3,23,Poor,6.25,1668566
480,West Ruben,4125,4,83,Poor,7.64,251422
481,Johnchester,4635,9,44,Poor,4.27,1136657
482,Lake Elizabeth,3995,1,100,Fair,5.99,1961845
483,Carloshaven,4988,3,68,Fair,6.55,1846213
484,South Morganton,4152,10,67,Good,1.17,928500
485,Zavalaview,1803,5,47,Poor,2.49,910061
486,West Kristinastad,4388,5,16,Excellent,4.73,1111490
487,Lake Diane,4186,7,80,Excellent,0.18,567815
488,Port Bonniemouth,2623,3,29,Excellent,2.47,691633
489,North Michael,2525,8,71,Fair,8.45,1111275
490,Lisaburgh,2771,7,35,Excellent,9.45,1051712
491,Pollardfort,4770,4,15,Good,7.68,957418
492,Port Dennis,4469,6,48,Fair,4.03,626038
493,Johnsonborough,2459,2,90,Poor,9.78,585398
494,Port Jameston,2749,5,36,Fair,1.23,1715357
495,Sarahhaven,4103,9,72,Poor,6.87,419294
496,Haysside,1134,8,57,Good,9.1,1449852
497,Kingborough,2840,5,73,Fair,8.33,1288946
498,Michaelton,2420,10,70,Poor,9.55,455573
499,Joshuastad,2725,8,83,Excellent,7.56,1874694
500,Prestonmouth,3251,2,39,Excellent,0.6,1277603
501,Morganburgh,3119,6,61,Fair,9.54,1075895
502,Holtstad,4924,2,81,Poor,1.72,1315876
503,Lauriechester,1160,3,32,Excellent,9.5,185208
504,South Carrieburgh,1633,10,3,Excellent,8.55,1725038
505,Manuelland,1735,6,14,Poor,0.26,573412
506,Donnaport,2394,5,71,Fair,8.67,1204751
507,Morrisonchester,3637,6,7,Excellent,1.27,1837736
